id,created,modified,"uuid",is_active,"alias","name","logo_url",has_teams,"season_end","season_start",is_sr_league,_peerdb_synced_at,_peerdb_is_deleted,_peerdb_version
3,2022-05-31 10:00:00.727983,2025-07-01 12:23:30.122404,"84595269-8e4b-49e8-89e8-4e341fdc45db",true,"MLB","Major League Baseball","https://d1b64mtb5sw7c4.cloudfront.net/media/leagues/logos/mlb_UkfJgbH.svg",true,"11-15","02-15",true,2026-06-08 12:22:09.383000000,0,0
4,2022-05-31 10:00:00.750193,2025-07-01 12:23:30.147156,"26856fb4-6a60-424c-be4f-c15691333524",true,"MLS","Major League Soccer","https://d1b64mtb5sw7c4.cloudfront.net/media/leagues/logos/mls_5dNqlGT.svg",true,"12-15","02-15",true,2026-06-08 12:22:09.383000000,0,0
6,2022-05-31 10:00:00.764309,2025-07-01 12:23:30.160218,"e322f5e3-59b0-4a25-928f-e078333d1fb3",true,"NBA","National Basketball Association","https://d1b64mtb5sw7c4.cloudfront.net/media/leagues/logos/nba_j00MiT1.svg",true,"06-30","10-01",true,2026-06-08 12:22:09.383000000,0,0
7,2022-05-31 10:00:00.769752,2025-07-01 12:23:30.176426,"889861db-1e8d-4e03-b955-fb0ca5ca4742",true,"NFL","National Football League","https://d1b64mtb5sw7c4.cloudfront.net/media/leagues/logos/nfl_8BhAZm1.svg",true,"02-15","08-01",true,2026-06-08 12:22:09.383000000,0,0
8,2022-05-31 10:00:00.775800,2025-07-01 12:23:30.187925,"d7e4f4ca-c3c6-48e7-a4fb-fb20b64799c5",true,"NHL","National Hockey League","https://d1b64mtb5sw7c4.cloudfront.net/media/leagues/logos/nhl_HWU4OvX.svg",true,"06-30","09-01",true,2026-06-08 12:22:09.383000000,0,0
9,2022-05-31 10:00:00.781755,2025-07-01 12:23:30.207403,"18673e11-881b-4bf5-b336-9b889ebd511b",true,"NCAAFB","NCAA College Football","https://d1b64mtb5sw7c4.cloudfront.net/media/leagues/logos/ncaafb_W0F7tRE.svg",true,"01-31","08-01",true,2026-06-08 12:22:09.383000000,0,0
10,2022-05-31 10:00:00.787979,2025-07-01 12:23:30.231066,"8508bce9-043d-43cb-9f1a-96303f96cea6",true,"NCAAM","NCAA Men's College Basketball","https://d1b64mtb5sw7c4.cloudfront.net/media/leagues/logos/ncaam_Zzfy5Re.svg",true,"04-15","11-01",true,2026-06-08 12:22:09.383000000,0,0
11,2022-05-31 10:00:00.794252,2023-10-20 13:09:04.643495,"1fcbac94-182f-440c-bedd-e72b5eaf8687",true,"WNBA","Women's National Basketball Association","https://sportserver-backend-production.s3.amazonaws.com/media/leagues/logos/wnba_6VFOKt6.svg",true,,,true,2026-06-08 12:22:09.383000000,0,0
15,2026-03-24 11:52:16.417684,2026-03-24 13:31:20.178351,"855f781f-cc00-47c1-8d9c-11187e269973",true,"NWSL","National Women's Soccer League","https://d1b64mtb5sw7c4.cloudfront.net/media/leagues/logos/nwsl_patch_UlNeJuQ.svg",true,"11-21","03-13",true,2026-06-08 12:22:09.383000000,0,0
